iter	MultiClass
0	1.261987673
1	1.070673171
2	0.9824267254
3	0.9097204626
4	0.8743674613
5	0.8299368121
6	0.8008722149
7	0.7681807172
8	0.7582211607
9	0.7419514503
10	0.7248202744
11	0.7172096165
12	0.7105605349
13	0.7034725653
14	0.6935338496
15	0.6790770901
16	0.6733470599
17	0.6616249104
18	0.6463187761
19	0.6405767196
20	0.6361308085
21	0.6303727475
22	0.6236087225
23	0.6106876286
24	0.6035976831
25	0.5998028969
26	0.5957143705
27	0.5887857902
28	0.5863979353
29	0.5767308929
30	0.5702550557
31	0.5632956895
32	0.5578915524
33	0.5537309038
34	0.5474176676
35	0.5422895669
36	0.5390248863
37	0.5362468981
38	0.5354490323
39	0.5306260623
40	0.5280961212
41	0.5209406909
42	0.5199713613
43	0.5140212267
44	0.5101330749
45	0.5040464392
46	0.5003819231
47	0.4992627132
48	0.493459131
49	0.4887928237
50	0.4831807136
51	0.4796638026
52	0.4777491895
53	0.4743232066
54	0.4720569636
55	0.4683324894
56	0.4663536909
57	0.4623923223
58	0.4615500629
59	0.459278838
60	0.4566099778
61	0.4527467136
62	0.4489748264
63	0.4451246166
64	0.4436382991
65	0.4417591555
66	0.440323636
67	0.4376293112
68	0.4359645577
69	0.4331232286
70	0.4325749965
71	0.430083555
72	0.4277230175
73	0.426270102
74	0.4225976646
75	0.4214485169
76	0.4181225099
77	0.4163788744
78	0.4156193979
79	0.4141836441
80	0.409690997
81	0.4078291415
82	0.4043414152
83	0.4021589818
84	0.40092455
85	0.3991259951
86	0.3978223205
87	0.3965598226
88	0.3945892361
89	0.3937542292
90	0.3914319896
91	0.3891247879
92	0.3880234251
93	0.386843736
94	0.3851303449
95	0.3816266948
96	0.3809870566
97	0.3793672723
98	0.3782204983
99	0.3772109035
