iter	Passed	Remaining
0	103	10241
1	242	11871
2	366	11844
3	501	12040
4	619	11776
5	772	12106
6	913	12133
7	1040	11970
8	1163	11763
9	1302	11722
10	1443	11678
11	1580	11587
12	1695	11346
13	1824	11206
14	1947	11034
15	2079	10918
16	2198	10733
17	2326	10599
18	2459	10483
19	2579	10317
20	2699	10156
21	2815	9982
22	2938	9838
23	3081	9758
24	3202	9608
25	3322	9455
26	3443	9309
27	3566	9170
28	3681	9012
29	3808	8885
30	3930	8748
31	4061	8630
32	4200	8528
33	4313	8373
34	4449	8264
35	4571	8127
36	4695	7995
37	4823	7869
38	4946	7736
39	5076	7614
40	5223	7516
41	5349	7387
42	5477	7261
43	5610	7140
44	5737	7012
45	5876	6898
46	5999	6765
47	6121	6631
48	6249	6504
49	6384	6384
50	6510	6255
51	6640	6129
52	6771	6004
53	6894	5873
54	7024	5747
55	7157	5623
56	7279	5491
57	7416	5370
58	7521	5226
59	7643	5095
60	7773	4970
61	7900	4842
62	8043	4724
63	8171	4596
64	8295	4466
65	8418	4336
66	8547	4210
67	8669	4079
68	8784	3946
69	8920	3822
70	9043	3693
71	9171	3566
72	9290	3436
73	9408	3305
74	9560	3186
75	9672	3054
76	9816	2932
77	9940	2803
78	10062	2674
79	10186	2546
80	10331	2423
81	10456	2295
82	10604	2172
83	10756	2048
84	10885	1920
85	11024	1794
86	11143	1665
87	11264	1536
88	11395	1408
89	11512	1279
90	11652	1152
91	11796	1025
92	11914	896
93	12029	767
94	12142	639
95	12273	511
96	12383	382
97	12505	255
98	12626	127
99	12736	0
